FECHA;CLASE;DIA_NOMBRE;PERIODO;FESTIVO;NAVIDAD;SEMSANTA;ESCOLAR;ACCIDENTES
2019-01-14;CHOQUE;LUNES;2019;No;No;No;No;81
2019-01-14;INCENDIO;LUNES;2019;No;No;No;No;1
2019-01-14;OTRO;LUNES;2019;No;No;No;No;13
2019-01-14;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-01-15;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-01-15;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-01-15;CHOQUE;MARTES;2019;No;No;No;No;85
2019-01-15;INCENDIO;MARTES;2019;No;No;No;No;1
2019-01-15;OTRO;MARTES;2019;No;No;No;No;14
2019-01-15;VOLCAMIENTO;MARTES;2019;No;No;No;No;4
2019-01-16;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-01-16;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-01-16;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-01-16;INCENDIO;MIERCOLES;2019;No;No;No;No;1
2019-01-16;OTRO;MIERCOLES;2019;No;No;No;No;14
2019-01-16;VOLCAMIENTO;MIERCOLES;2019;No;No;No;No;4
2019-01-17;ATROPELLO;JUEVES;2019;No;No;No;No;12
2019-01-17;CAIDA OCUPANTE;JUEVES;2019;No;No;No;No;11
2019-01-17;CHOQUE;JUEVES;2019;No;No;No;No;83
2019-01-17;INCENDIO;JUEVES;2019;No;No;No;No;1
2019-01-17;OTRO;JUEVES;2019;No;No;No;No;14
2019-01-17;VOLCAMIENTO;JUEVES;2019;No;No;No;No;4
2019-01-18;ATROPELLO;VIERNES;2019;No;No;No;No;13
2019-01-18;CAIDA OCUPANTE;VIERNES;2019;No;No;No;No;11
2019-01-18;CHOQUE;VIERNES;2019;No;No;No;No;87
2019-01-18;INCENDIO;VIERNES;2019;No;No;No;No;1
2019-01-18;OTRO;VIERNES;2019;No;No;No;No;14
2019-01-18;VOLCAMIENTO;VIERNES;2019;No;No;No;No;4
2019-01-19;ATROPELLO;SABADO;2019;No;No;No;No;12
2019-01-19;CAIDA OCUPANTE;SABADO;2019;No;No;No;No;10
2019-01-19;CHOQUE;SABADO;2019;No;No;No;No;78
2019-01-19;INCENDIO;SABADO;2019;No;No;No;No;1
2019-01-19;OTRO;SABADO;2019;No;No;No;No;13
2019-01-19;VOLCAMIENTO;SABADO;2019;No;No;No;No;4
2019-01-20;ATROPELLO;DOMINGO;2019;No;No;No;No;8
2019-01-20;CAIDA OCUPANTE;DOMINGO;2019;No;No;No;No;7
2019-01-20;CHOQUE;DOMINGO;2019;No;No;No;No;52
2019-01-20;INCENDIO;DOMINGO;2019;No;No;No;No;1
2019-01-20;OTRO;DOMINGO;2019;No;No;No;No;8
2019-01-20;VOLCAMIENTO;DOMINGO;2019;No;No;No;No;3
2019-01-21;ATROPELLO;LUNES;2019;No;No;No;No;12
2019-01-21;CAIDA OCUPANTE;LUNES;2019;No;No;No;No;11
2019-01-21;CHOQUE;LUNES;2019;No;No;No;No;81
2019-01-21;INCENDIO;LUNES;2019;No;No;No;No;1
2019-01-21;OTRO;LUNES;2019;No;No;No;No;13
2019-01-21;VOLCAMIENTO;LUNES;2019;No;No;No;No;4
2019-01-22;ATROPELLO;MARTES;2019;No;No;No;No;13
2019-01-22;CAIDA OCUPANTE;MARTES;2019;No;No;No;No;11
2019-01-22;CHOQUE;MARTES;2019;No;No;No;No;85
2019-01-22;INCENDIO;MARTES;2019;No;No;No;No;1
2019-01-22;OTRO;MARTES;2019;No;No;No;No;14
2019-01-23;ATROPELLO;MIERCOLES;2019;No;No;No;No;12
2019-01-23;CAIDA OCUPANTE;MIERCOLES;2019;No;No;No;No;11
2019-01-23;CHOQUE;MIERCOLES;2019;No;No;No;No;84
2019-01-23;INCENDIO;MIERCOLES;2019;No;No;No;No;1
