FECHA,CLASE,total_accidentes,MES,FESTIVO,MADRE,NAVIDAD,BRUJITOS,SEMSANTA,ESCOLAR,DIA_NOMBRE,SEMANA,PERIODO
2019-01-14,ATROPELLO,2,01,No,No,No,No,No,No,LUNES,2,2019
2019-01-14,CAIDA OCUPANTE,5,01,No,No,No,No,No,No,LUNES,2,2019
2019-01-14,CHOQUE,36,01,No,No,No,No,No,No,LUNES,2,2019
2019-01-14,OTRO,8,01,No,No,No,No,No,No,LUNES,2,2019
2019-01-14,VOLCAMIENTO,2,01,No,No,No,No,No,No,LUNES,2,2019
2019-01-15,ATROPELLO,9,01,No,No,No,No,No,No,MARTES,3,2019
2019-01-15,CAIDA OCUPANTE,9,01,No,No,No,No,No,No,MARTES,3,2019
2019-01-15,CHOQUE,80,01,No,No,No,No,No,No,MARTES,3,2019
2019-01-15,OTRO,10,01,No,No,No,No,No,No,MARTES,3,2019
2019-01-15,VOLCAMIENTO,5,01,No,No,No,No,No,No,MARTES,3,2019
2019-01-16,ATROPELLO,9,01,No,No,No,No,No,No,MIERCOLES,3,2019
2019-01-16,CAIDA OCUPANTE,6,01,No,No,No,No,No,No,MIERCOLES,3,2019
2019-01-16,CHOQUE,71,01,No,No,No,No,No,No,MIERCOLES,3,2019
2019-01-16,OTRO,20,01,No,No,No,No,No,No,MIERCOLES,3,2019
2019-01-16,VOLCAMIENTO,4,01,No,No,No,No,No,No,MIERCOLES,3,2019
2019-01-17,ATROPELLO,10,01,No,No,No,No,No,No,JUEVES,3,2019
2019-01-17,CAIDA OCUPANTE,9,01,No,No,No,No,No,No,JUEVES,3,2019
2019-01-17,CHOQUE,90,01,No,No,No,No,No,No,JUEVES,3,2019
2019-01-17,OTRO,17,01,No,No,No,No,No,No,JUEVES,3,2019
2019-01-17,VOLCAMIENTO,7,01,No,No,No,No,No,No,JUEVES,3,2019
2019-01-18,ATROPELLO,13,01,No,No,No,No,No,No,VIERNES,3,2019
2019-01-18,CAIDA OCUPANTE,12,01,No,No,No,No,No,No,VIERNES,3,2019
2019-01-18,CHOQUE,73,01,No,No,No,No,No,No,VIERNES,3,2019
2019-01-18,OTRO,12,01,No,No,No,No,No,No,VIERNES,3,2019
2019-01-18,VOLCAMIENTO,2,01,No,No,No,No,No,No,VIERNES,3,2019
2019-01-19,ATROPELLO,5,01,No,No,No,No,No,No,SABADO,3,2019
2019-01-19,CAIDA OCUPANTE,12,01,No,No,No,No,No,No,SABADO,3,2019
2019-01-19,CHOQUE,99,01,No,No,No,No,No,No,SABADO,3,2019
2019-01-19,OTRO,16,01,No,No,No,No,No,No,SABADO,3,2019
2019-01-19,VOLCAMIENTO,2,01,No,No,No,No,No,No,SABADO,3,2019
2019-01-20,ATROPELLO,11,01,No,No,No,No,No,No,DOMINGO,3,2019
2019-01-20,CAIDA OCUPANTE,14,01,No,No,No,No,No,No,DOMINGO,3,2019
2019-01-20,CHOQUE,70,01,No,No,No,No,No,No,DOMINGO,3,2019
2019-01-20,OTRO,17,01,No,No,No,No,No,No,DOMINGO,3,2019
2019-01-20,VOLCAMIENTO,3,01,No,No,No,No,No,No,DOMINGO,3,2019
2019-01-21,ATROPELLO,9,01,No,No,No,No,No,No,LUNES,3,2019
2019-01-21,CAIDA OCUPANTE,8,01,No,No,No,No,No,No,LUNES,3,2019
2019-01-21,CHOQUE,51,01,No,No,No,No,No,No,LUNES,3,2019
2019-01-21,OTRO,8,01,No,No,No,No,No,No,LUNES,3,2019
2019-01-21,VOLCAMIENTO,4,01,No,No,No,No,No,No,LUNES,3,2019
2019-01-22,ATROPELLO,13,01,No,No,No,No,No,No,MARTES,4,2019
2019-01-22,CAIDA OCUPANTE,7,01,No,No,No,No,No,No,MARTES,4,2019
2019-01-22,CHOQUE,79,01,No,No,No,No,No,No,MARTES,4,2019
2019-01-22,OTRO,9,01,No,No,No,No,No,No,MARTES,4,2019
2019-01-23,ATROPELLO,10,01,No,No,No,No,No,No,MIERCOLES,4,2019
2019-01-23,CAIDA OCUPANTE,8,01,No,No,No,No,No,No,MIERCOLES,4,2019
2019-01-23,CHOQUE,86,01,No,No,No,No,No,No,MIERCOLES,4,2019
2019-01-23,OTRO,9,01,No,No,No,No,No,No,MIERCOLES,4,2019
2019-01-24,ATROPELLO,10,01,No,No,No,No,No,No,JUEVES,4,2019
2019-01-24,CAIDA OCUPANTE,10,01,No,No,No,No,No,No,JUEVES,4,2019
2019-01-24,CHOQUE,75,01,No,No,No,No,No,No,JUEVES,4,2019
2019-01-24,OTRO,12,01,No,No,No,No,No,No,JUEVES,4,2019
2019-01-24,VOLCAMIENTO,3,01,No,No,No,No,No,No,JUEVES,4,2019
2019-01-25,ATROPELLO,9,01,No,No,No,No,No,No,VIERNES,4,2019
2019-01-25,CAIDA OCUPANTE,7,01,No,No,No,No,No,No,VIERNES,4,2019
2019-01-25,CHOQUE,78,01,No,No,No,No,No,No,VIERNES,4,2019
2019-01-25,OTRO,10,01,No,No,No,No,No,No,VIERNES,4,2019
2019-01-25,VOLCAMIENTO,1,01,No,No,No,No,No,No,VIERNES,4,2019
2019-01-26,ATROPELLO,7,01,No,No,No,No,No,No,SABADO,4,2019
2019-01-26,CAIDA OCUPANTE,19,01,No,No,No,No,No,No,SABADO,4,2019
2019-01-26,CHOQUE,97,01,No,No,No,No,No,No,SABADO,4,2019
2019-01-26,OTRO,8,01,No,No,No,No,No,No,SABADO,4,2019
2019-01-26,VOLCAMIENTO,4,01,No,No,No,No,No,No,SABADO,4,2019
2019-01-27,ATROPELLO,5,01,No,No,No,No,No,No,DOMINGO,4,2019
2019-01-27,CAIDA OCUPANTE,5,01,No,No,No,No,No,No,DOMINGO,4,2019
2019-01-27,CHOQUE,77,01,No,No,No,No,No,No,DOMINGO,4,2019
2019-01-27,OTRO,8,01,No,No,No,No,No,No,DOMINGO,4,2019
2019-01-27,VOLCAMIENTO,3,01,No,No,No,No,No,No,DOMINGO,4,2019
2019-01-28,ATROPELLO,7,01,No,No,No,No,No,No,LUNES,4,2019
2019-01-28,CAIDA OCUPANTE,10,01,No,No,No,No,No,No,LUNES,4,2019
2019-01-28,CHOQUE,31,01,No,No,No,No,No,No,LUNES,4,2019
2019-01-28,OTRO,18,01,No,No,No,No,No,No,LUNES,4,2019
2019-01-29,ATROPELLO,9,01,No,No,No,No,No,No,MARTES,5,2019
2019-01-29,CAIDA OCUPANTE,8,01,No,No,No,No,No,No,MARTES,5,2019
2019-01-29,CHOQUE,67,01,No,No,No,No,No,No,MARTES,5,2019
2019-01-29,OTRO,7,01,No,No,No,No,No,No,MARTES,5,2019
2019-01-30,ATROPELLO,13,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-30,CAIDA OCUPANTE,12,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-30,CHOQUE,71,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-30,INCENDIO,1,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-30,OTRO,5,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-30,VOLCAMIENTO,3,01,No,No,No,No,No,No,MIERCOLES,5,2019
2019-01-31,ATROPELLO,11,01,No,No,No,No,No,No,JUEVES,5,2019
2019-01-31,CAIDA OCUPANTE,7,01,No,No,No,No,No,No,JUEVES,5,2019
2019-01-31,CHOQUE,65,01,No,No,No,No,No,No,JUEVES,5,2019
2019-01-31,OTRO,8,01,No,No,No,No,No,No,JUEVES,5,2019
2019-01-31,VOLCAMIENTO,4,01,No,No,No,No,No,No,JUEVES,5,2019
2019-02-01,ATROPELLO,5,02,No,No,No,No,No,No,VIERNES,5,2019
2019-02-01,CAIDA OCUPANTE,16,02,No,No,No,No,No,No,VIERNES,5,2019
2019-02-01,CHOQUE,74,02,No,No,No,No,No,No,VIERNES,5,2019
2019-02-01,OTRO,11,02,No,No,No,No,No,No,VIERNES,5,2019
2019-02-01,VOLCAMIENTO,2,02,No,No,No,No,No,No,VIERNES,5,2019
2019-02-02,ATROPELLO,10,02,No,No,No,No,No,No,SABADO,5,2019
2019-02-02,CAIDA OCUPANTE,15,02,No,No,No,No,No,No,SABADO,5,2019
2019-02-02,CHOQUE,124,02,No,No,No,No,No,No,SABADO,5,2019
2019-02-02,OTRO,12,02,No,No,No,No,No,No,SABADO,5,2019
2019-02-02,VOLCAMIENTO,5,02,No,No,No,No,No,No,SABADO,5,2019
2019-02-03,ATROPELLO,8,02,No,No,No,No,No,No,DOMINGO,5,2019
2019-02-03,CAIDA OCUPANTE,6,02,No,No,No,No,No,No,DOMINGO,5,2019
2019-02-03,CHOQUE,88,02,No,No,No,No,No,No,DOMINGO,5,2019
2019-02-03,OTRO,9,02,No,No,No,No,No,No,DOMINGO,5,2019
2019-02-03,VOLCAMIENTO,3,02,No,No,No,No,No,No,DOMINGO,5,2019
2019-02-04,ATROPELLO,8,02,No,No,No,No,No,No,LUNES,5,2019
2019-02-04,CAIDA OCUPANTE,4,02,No,No,No,No,No,No,LUNES,5,2019
2019-02-04,CHOQUE,45,02,No,No,No,No,No,No,LUNES,5,2019
